band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.6338793034665288,6.0,0.0,0.0041617159731686115,0.6380410194396973,0.0800290454617855,0.06804955064875398,11,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.09242239885497837,6.0,0.0,0.00034181482624262566,0.092764213681221,0.00582795936354637,0.005494532592534291,11,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.5147070223465562,6.0,0.0,0.005142754875123501,0.5198497772216797,0.10025068511219629,0.059626172003606336,13,40015,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.06940330576617271,6.0,0.0,0.0005609615473076701,0.06996426731348038,0.006678809958228317,0.004709569930050742,13,40015,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,1.0332270201761278,6.0,0.0,0.0037050906103104353,1.0369321107864382,0.09352675206800888,0.08210769834300316,1,40019,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.044044534704880796,6.0,0.0,0.0002911286137532443,0.04433566331863404,0.00452722536586778,0.003205759831885897,1,40019,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.5231829141266644,6.0,0.0,0.006739571224898101,0.5299224853515624,0.08140963547294991,0.04400496227718957,3,40019,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.03973028255859389,6.0,0.0,0.0005931089981459082,0.04032339155673981,0.004931431913167269,0.0030062554819678088,3,40019,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.4909117948263884,6.0,0.0,0.008109198883175852,0.4990209937095641,0.09153187997647795,0.054409608000487296,5,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.04479295312194154,6.0,0.0,0.0006032034871168435,0.04539615660905838,0.00455455453711802,0.0026497940847753122,5,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.382594239898026,6.0,0.0,0.00620256643742323,0.3887968063354492,0.0932444256602999,0.04922499863193306,7,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.039341917407000444,6.0,0.0,0.00013111330918036399,0.0394730307161808,0.004286122388807068,0.002735273909261675,7,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.18750027543865144,6.0,0.0,0.0025388824287801977,0.19003915786743164,0.04148338906886703,0.019658250582641024,9,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
2.0,0.008318671374581752,6.0,0.0,0.00037022738251835113,0.008688898757100107,0.002517339212609158,0.001003526857351262,9,40017,20110212_221621_r2_scwa__hx,2011-02-12,43
1.0,0.4550374848768115,6.0,0.0,0.008851875551044943,0.4638893604278565,0.10371093416139458,0.05063546627915204,1,40022,20110226_220853_r2_scwa__hx,2011-02-26,57
2.0,0.05179580871481448,6.0,0.0,0.0003178807673975826,0.05211368948221206,0.009270320042062638,0.005631887651055136,1,40022,20110226_220853_r2_scwa__hx,2011-02-26,57
1.0,0.4909960662480444,6.0,0.0,0.0025305713061243296,0.4935266375541687,0.0869304145247443,0.046887722958820065,3,40022,20110226_220853_r2_scwa__hx,2011-02-26,57
2.0,0.052110814838670194,6.0,0.0,0.000517717213369906,0.0526285320520401,0.0069318553536140875,0.004762595985155006,3,40022,20110226_220853_r2_scwa__hx,2011-02-26,57
