STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/1/2012,0,110,-27.6,-25.5,-31.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/2/2012,0,110,-27.1,-22.5,-29.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/3/2012,0,110,-19.6,-15.2,-23.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/4/2012,0,100,-21.6,-18.2,-31.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/5/2012,0,100,-30.6,-28.5,-33
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/6/2012,0,100,-29.9,-26.6,-32.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/7/2012,0,100,-28.7,-24,-31.7
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/8/2012,0,100,-26.2,-21.9,-28.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/9/2012,0,100,-26.3,-21.3,-29
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/10/2012,,100,-20.3,-16.8,-23.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/11/2012,,110,-18.3,-16.9,-19.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/12/2012,,100,-20.2,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/13/2012,0,100,-24.6,-21.7,-27.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/14/2012,0,100,-26.2,-23.4,-29.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/15/2012,0,100,-27,-22.9,-30.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/16/2012,0,100,-26.3,-24.9,-32.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/17/2012,0,100,-30.9,-29.5,-34.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/18/2012,0,100,-33.8,-32.7,-36.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/19/2012,0,100,-34.9,-33.3,-37.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/20/2012,0,100,-34.7,-32.2,-37
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/21/2012,0,110,-32.2,-30.5,-34.3
